config,map,agents,baseline_solved,candidate_solved,soc_gain_pct_vs_baseline,comp_median_gain_pct,comp_p95_gain_pct
mapaware_random_x35,random-32-32-20.map,300,25/25,25/25,1.75,-6.06,-30.95
mapaware_random_x35,den520d.map,700,25/25,25/25,0.00,-1.08,-10.34
mapaware_random_x35,Paris_1_256.map,1000,25/25,25/25,0.00,3.15,-8.96
mapaware_random_x35,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.00,-2.38,2.73
mapaware_random_x35,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.00,2.61,5.52
mapaware_x35,random-32-32-20.map,300,25/25,25/25,2.08,-1.52,-17.86
mapaware_x35,den520d.map,700,25/25,25/25,0.00,1.54,3.04
mapaware_x35,Paris_1_256.map,1000,25/25,25/25,0.00,6.32,-3.14
mapaware_x35,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.08,10.82,7.19
mapaware_x35,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.09,13.03,14.25
mapaware_x35_linucb,random-32-32-20.map,300,25/25,25/25,2.08,-9.09,-9.52
mapaware_x35_linucb,den520d.map,700,25/25,25/25,0.00,-7.54,-7.66
mapaware_x35_linucb,Paris_1_256.map,1000,25/25,25/25,0.00,10.12,4.56
mapaware_x35_linucb,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.06,7.82,2.65
mapaware_x35_linucb,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.25,23.10,6.09
mapaware_x35_linucb_a06,random-32-32-20.map,300,25/25,25/25,1.28,-16.67,-15.48
mapaware_x35_linucb_a06,den520d.map,700,25/25,25/25,0.00,-2.89,-0.33
mapaware_x35_linucb_a06,Paris_1_256.map,1000,25/25,25/25,0.00,5.63,-8.40
mapaware_x35_linucb_a06,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.29,6.39,-0.08
mapaware_x35_linucb_a06,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.36,17.17,12.93
mapaware_x35_linucb_a08,random-32-32-20.map,300,25/25,25/25,2.52,-12.12,-16.67
mapaware_x35_linucb_a08,den520d.map,700,25/25,25/25,0.00,-0.95,-5.24
mapaware_x35_linucb_a08,Paris_1_256.map,1000,25/25,25/25,0.00,10.78,5.66
mapaware_x35_linucb_a08,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.13,5.05,-2.94
mapaware_x35_linucb_a08,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.03,13.10,14.15
mapaware_x35_linucb_a10,random-32-32-20.map,300,25/25,25/25,1.05,-16.67,-19.05
mapaware_x35_linucb_a10,den520d.map,700,25/25,25/25,0.00,1.76,5.31
mapaware_x35_linucb_a10,Paris_1_256.map,1000,25/25,25/25,0.00,11.59,5.37
mapaware_x35_linucb_a10,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.05,5.00,2.44
mapaware_x35_linucb_a10,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.06,17.15,9.28
mapaware_x36,random-32-32-20.map,300,25/25,25/25,1.75,-16.67,-16.67
mapaware_x36,den520d.map,700,25/25,25/25,0.00,6.10,7.01
mapaware_x36,Paris_1_256.map,1000,25/25,25/25,0.00,11.14,-1.10
mapaware_x36,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.10,-3.62,4.75
mapaware_x36,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.14,-3.20,2.19
