map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15269.08,1.53,88.000000,84.000000,4.55,119.000000,95.000000,20.17
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2389.000000,2467.000000,-3.26,2883.000000,2919.000000,-1.25
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,7066.000000,6480.000000,8.29,9738.000000,7587.000000,22.09
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268947.64,0.08,2259.000000,2011.000000,10.98,2411.000000,2608.000000,-8.17
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,248101.80,-0.15,3929.000000,3423.000000,12.88,5576.000000,3958.000000,29.02
