map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,68.000000,77.000000,-13.24,84.000000,107.000000,-27.38
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2268.000000,2330.000000,-2.73,2701.000000,2728.000000,-1.00
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,6696.000000,5905.000000,11.81,8501.000000,7469.000000,12.14
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2183.000000,1962.000000,10.12,2338.000000,2334.000000,0.17
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,4184.000000,4095.000000,2.13,5408.000000,4524.000000,16.35
