map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,68.000000,74.000000,-8.82,81.000000,96.000000,-18.52
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2141.000000,2289.000000,-6.91,2662.000000,2815.000000,-5.75
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,7215.000000,6422.000000,10.99,10146.000000,7078.000000,30.24
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2189.000000,1991.000000,9.05,2347.000000,2409.000000,-2.64
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,4426.000000,3786.000000,14.46,5121.000000,4587.000000,10.43
