config,map,agents,baseline_solved,candidate_solved,soc_gain_pct_vs_baseline,comp_median_gain_pct,comp_p95_gain_pct
mapaware_random_x35,random-32-32-20.map,300,25/25,25/25,1.75,-5.45,-25.76
mapaware_random_x35,den520d.map,700,25/25,25/25,0.00,2.46,-17.96
mapaware_random_x35,Paris_1_256.map,1000,25/25,25/25,0.00,-8.02,-2.35
mapaware_random_x35,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.00,2.15,4.79
mapaware_random_x35,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.00,11.65,14.37
mapaware_x35,random-32-32-20.map,300,25/25,25/25,2.08,-9.09,-28.79
mapaware_x35,den520d.map,700,25/25,25/25,0.00,3.64,2.78
mapaware_x35,Paris_1_256.map,1000,25/25,25/25,0.00,-6.36,-36.08
mapaware_x35,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.08,15.25,13.95
mapaware_x35,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.09,29.45,27.18
mapaware_x35_linucb,random-32-32-20.map,300,25/25,25/25,1.50,-14.55,-40.91
mapaware_x35_linucb,den520d.map,700,25/25,25/25,0.00,0.56,-8.90
mapaware_x35_linucb,Paris_1_256.map,1000,25/25,25/25,0.00,-6.75,-3.16
mapaware_x35_linucb,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.14,11.93,12.92
mapaware_x35_linucb,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.06,29.45,23.06
mapaware_x35_linucb_a06,random-32-32-20.map,300,25/25,25/25,2.56,-9.09,-28.79
mapaware_x35_linucb_a06,den520d.map,700,25/25,25/25,0.00,5.37,-22.05
mapaware_x35_linucb_a06,Paris_1_256.map,1000,25/25,25/25,0.00,-6.02,-4.63
mapaware_x35_linucb_a06,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.18,10.46,6.54
mapaware_x35_linucb_a06,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.20,34.06,20.27
mapaware_x35_linucb_a08,random-32-32-20.map,300,25/25,25/25,3.14,-12.73,-27.27
mapaware_x35_linucb_a08,den520d.map,700,25/25,25/25,0.00,4.47,-22.00
mapaware_x35_linucb_a08,Paris_1_256.map,1000,25/25,25/25,0.00,-0.06,-8.87
mapaware_x35_linucb_a08,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.07,11.62,12.15
mapaware_x35_linucb_a08,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.01,31.16,23.72
mapaware_x35_linucb_a10,random-32-32-20.map,300,25/25,25/25,1.48,-12.73,-33.33
mapaware_x35_linucb_a10,den520d.map,700,25/25,25/25,0.00,0.67,-9.81
mapaware_x35_linucb_a10,Paris_1_256.map,1000,25/25,25/25,0.00,-3.42,-0.78
mapaware_x35_linucb_a10,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.01,15.13,9.01
mapaware_x35_linucb_a10,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.05,25.36,22.79
mapaware_x36,random-32-32-20.map,300,25/25,25/25,1.75,-10.91,-25.76
mapaware_x36,den520d.map,700,25/25,25/25,0.00,2.46,2.07
mapaware_x36,Paris_1_256.map,1000,25/25,25/25,0.00,-2.17,7.16
mapaware_x36,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.10,-2.89,-0.82
mapaware_x36,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.14,3.07,12.16
