map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15019.96,3.14,55.000000,62.000000,-12.73,60.000000,84.000000,-40.00
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,1641.000000,1687.000000,-2.80,2099.000000,2439.000000,-16.20
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,4500.000000,5117.000000,-13.71,6315.000000,5788.000000,8.35
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268969.56,0.07,1586.000000,1472.000000,7.19,1793.000000,1651.000000,7.92
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247777.04,-0.01,3484.000000,2458.000000,29.45,4173.000000,3015.000000,27.75
