map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,68.000000,73.000000,-7.35,76.000000,97.000000,-27.63
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2310.000000,2229.000000,3.51,2641.000000,2868.000000,-8.60
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,6304.000000,6127.000000,2.81,8084.000000,8317.000000,-2.88
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2227.000000,2003.000000,10.06,2352.000000,2617.000000,-11.27
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,4275.000000,4336.000000,-1.43,4620.000000,4604.000000,0.35
