map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,77.000000,77.000000,0.00,129.000000,102.000000,20.93
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2369.000000,2068.000000,12.71,2801.000000,2842.000000,-1.46
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,6186.000000,5939.000000,3.99,7947.000000,7839.000000,1.36
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2201.000000,2056.000000,6.59,2492.000000,2372.000000,4.82
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,4409.000000,3809.000000,13.61,5250.000000,4472.000000,14.82
