map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,14654.56,5.49,67.000000,223.000000,-232.84,79.000000,306.000000,-287.34
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2164.000000,2279.000000,-5.31,2693.000000,2738.000000,-1.67
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,6270.000000,5943.000000,5.22,8203.000000,8022.000000,2.21
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,264427.08,1.76,2012.000000,5193.000000,-158.10,2201.000000,5838.000000,-165.24
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,242773.20,2.01,3837.000000,7554.000000,-96.87,4730.000000,8443.000000,-78.50
