map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15183.76,2.08,56.000000,56.000000,0.00,61.000000,86.000000,-40.98
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,1702.000000,1563.000000,8.17,2234.000000,1800.000000,19.43
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,4940.000000,5037.000000,-1.96,7988.000000,6943.000000,13.08
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268957.56,0.08,1650.000000,1411.000000,14.48,1841.000000,1724.000000,6.36
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247520.24,0.09,3286.000000,2286.000000,30.43,3719.000000,3200.000000,13.96
