map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,69.000000,70.000000,-1.45,81.000000,98.000000,-20.99
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2294.000000,2151.000000,6.23,2725.000000,2495.000000,8.44
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,6340.000000,6933.000000,-9.35,7203.000000,8964.000000,-24.45
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2235.000000,1936.000000,13.38,2372.000000,2509.000000,-5.78
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,4301.000000,3989.000000,7.25,5621.000000,4722.000000,15.99
