config,map,agents,baseline_solved,candidate_solved,soc_gain_pct_vs_baseline,comp_median_gain_pct,comp_p95_gain_pct
mapaware_random_x35,random-32-32-20.map,300,25/25,25/25,1.71,-11.11,-31.75
mapaware_random_x35,den520d.map,700,25/25,25/25,0.00,2.83,-23.68
mapaware_random_x35,Paris_1_256.map,1000,25/25,25/25,0.00,3.59,13.23
mapaware_random_x35,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.00,2.03,8.60
mapaware_random_x35,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.00,-7.27,8.50
mapaware_x35,random-32-32-20.map,300,25/25,25/25,1.71,-12.96,-31.75
mapaware_x35,den520d.map,700,25/25,25/25,0.00,8.42,2.82
mapaware_x35,Paris_1_256.map,1000,25/25,25/25,0.00,8.23,0.67
mapaware_x35,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.02,11.43,10.54
mapaware_x35,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.04,24.79,30.35
mapaware_x36,random-32-32-20.map,300,25/25,25/25,1.71,-14.81,-31.75
mapaware_x36,den520d.map,700,25/25,25/25,0.00,0.00,2.52
mapaware_x36,Paris_1_256.map,1000,25/25,25/25,0.00,9.08,4.68
mapaware_x36,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.02,-4.85,1.84
mapaware_x36,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.04,-9.77,13.25
