map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,68.000000,74.000000,-8.82,77.000000,98.000000,-27.27
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2290.000000,2344.000000,-2.36,2797.000000,2943.000000,-5.22
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,6303.000000,6312.000000,-0.14,8015.000000,8248.000000,-2.91
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2191.000000,2126.000000,2.97,2610.000000,2450.000000,6.13
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,4826.000000,4012.000000,16.87,6274.000000,4575.000000,27.08
