map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,69.000000,75.000000,-8.70,82.000000,93.000000,-13.41
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2275.000000,2072.000000,8.92,2816.000000,2443.000000,13.25
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,6008.000000,5975.000000,0.55,7126.000000,6445.000000,9.56
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2139.000000,1934.000000,9.58,2571.000000,2460.000000,4.32
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,4458.000000,3716.000000,16.64,4901.000000,4711.000000,3.88
