map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,87.000000,101.000000,-16.09,111.000000,127.000000,-14.41
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2814.000000,2890.000000,-2.70,3382.000000,3657.000000,-8.13
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,7947.000000,7356.000000,7.44,9130.000000,8753.000000,4.13
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2650.000000,2482.000000,6.34,2845.000000,2945.000000,-3.51
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,5044.000000,3869.000000,23.30,6012.000000,4472.000000,25.62
