map,agents,baseline_solved,candidate_solved,baseline_avg_soc_solved_only,candidate_avg_soc_solved_only,soc_gain_pct_vs_baseline,baseline_comp_median,candidate_comp_median,comp_median_gain_pct,baseline_comp_p95,candidate_comp_p95,comp_p95_gain_pct
random-32-32-20.map,300,25/25,25/25,15506.24,15116.24,2.52,68.000000,74.000000,-8.82,80.000000,95.000000,-18.75
den520d.map,700,25/25,25/25,152719.08,152719.08,0.00,2241.000000,2229.000000,0.54,2828.000000,2983.000000,-5.48
Paris_1_256.map,1000,25/25,25/25,238097.92,238097.92,0.00,6098.000000,5786.000000,5.12,7318.000000,8656.000000,-18.28
warehouse-20-40-10-2-1.map,1000,25/25,25/25,269163.44,268817.36,0.13,2151.000000,2162.000000,-0.51,2342.000000,2429.000000,-3.71
warehouse-20-40-10-2-2.map,1000,25/25,25/25,247740.60,247669.88,0.03,4826.000000,4010.000000,16.91,6401.000000,4596.000000,28.20
